Name,Postal District,"25th
Percentile",Median,"75th
Percentile",
1 KING ALBERT PARK,21,27.59,28.77,29.41,
18 WOODSVILLE,13,36.76,40.00,45.65,
26 NEWTON,11,49.12,53.33,56.82,
368 THOMSON,11,33.88,36.64,40.63,
38 I SUITES,15,38.30,41.94,42.86,
6 DERBYSHIRE,11,41.18,44.64,50.00,
76 SHENTON,2,46.67,58.18,60.34,
8 @ MOUNT SOPHIA,9,50.00,53.10,57.14,
8@WOODLEIGH,13,33.33,36.36,38.46,
A TREASURE TROVE,19,25.24,27.06,29.17,
ADRIA,11,45.90,49.00,51.00,
ALEX RESIDENCES,3,46.51,47.62,58.52,
ALEXIS,3,41.80,50.00,54.17,
ALTEZ,2,60.61,65.22,71.43,
AMARANDA GARDENS,19,30.91,31.76,33.33,
AMARYLLIS VILLE,11,41.86,44.19,49.12,
AQUARIUS BY THE PARK,16,26.17,27.10,28.57,
ARCHIPELAGO,16,29.45,30.84,33.58,
ARDMORE PARK,10,50.58,53.70,55.45,
ASCENTIA SKY,3,36.50,39.78,41.61,
ASPEN HEIGHTS,9,34.93,36.29,39.02,
ASTORIA PARK,14,27.03,29.29,32.43,
ASTRID MEADOWS,10,31.61,34.96,38.31,
AVILA GARDENS,17,17.89,19.78,24.10,
AZALEA PARK CONDO,17,18.03,20.24,22.73,
BALLOTA PARK CONDO,17,16.60,18.46,19.72,
BARTLEY RESIDENCES,19,31.00,33.78,44.19,
BARTLEY RIDGE,13,32.29,34.92,40.22,
BAYSHORE PARK,16,27.10,29.04,31.17,
BEDOK RESIDENCES,16,37.32,42.67,46.49,
BELLE VUE RESIDENCES,9,35.00,40.50,46.80,
BELMOND GREEN,10,38.84,41.07,42.05,
BISHAN 8,20,29.17,31.94,32.41,
BLUE HORIZON,5,30.29,32.63,33.65,
BOATHOUSE RESIDENCES,19,26.45,28.21,30.58,
BOTANNIA,5,28.00,30.25,33.33,
BULLION PARK,26,22.51,25.28,26.08,
BURLINGTON SQUARE,7,36.78,40.40,44.44,
CAIRNHILL CREST,9,41.38,42.99,46.36,
CAIRNHILL NINE,9,64.77,69.36,72.60,
CANBERRA RESIDENCES,27,23.50,25.70,30.00,
CAPE ROYALE,4,40.68,44.87,49.36,
CARABELLE,5,29.91,30.73,31.67,
CARDIFF RESIDENCE,19,42.11,43.59,44.87,
CARIBBEAN AT KEPPEL BAY,4,45.91,49.06,52.63,
CARISSA PARK CONDO,17,19.98,21.85,23.98,
CASA CAMBIO,19,33.83,38.59,42.36,
CASA FORTUNA,12,27.00,33.39,42.55,
CASA MERAH,16,28.67,30.22,31.82,
CASABLANCA,25,23.53,25.15,27.16,
CASHEW HEIGHTS CONDO,23,17.78,19.95,21.71,
CASPIAN,22,28.15,31.30,34.48,
CASTLE GREEN,26,23.72,24.48,25.64,
CAVENDISH PARK,21,27.97,29.07,32.20,
CENTRAL GREEN CONDO,3,31.85,34.34,38.50,
CENTRAL GROVE,14,26.55,28.83,31.18,
CENTRO RESIDENCES,20,36.84,39.47,43.01,
CHANGI COURT,16,22.22,23.29,25.64,
CHANGI GREEN,16,22.30,24.69,26.54,
CHANGI RISE CONDO,18,23.25,24.32,25.00,
CHILTERN PARK,19,24.31,25.78,26.59,
CHUAN PARK,19,20.10,21.85,26.02,
CITY SQUARE RESIDENCES,8,35.43,37.50,41.25,
CITYLIGHTS,8,40.96,47.62,51.81,
CITYSCAPE @FARRER PARK,8,29.69,30.77,32.81,
CLEMENTI PARK,21,22.93,25.24,26.26,
CLEMENTIWOODS CONDO,5,32.18,32.56,35.39,
CLOVER BY THE PARK,20,28.57,30.25,31.86,
COCO PALMS,18,31.37,32.86,39.53,
COMMONWEALTH TOWERS,3,48.44,53.27,57.32,
COMPASS HEIGHTS,19,24.77,26.39,30.51,
CONCOURSE SKYLINE,7,42.86,46.75,49.38,
CORALIS,15,36.90,40.00,43.48,
CORALS AT KEPPEL BAY,4,49.24,52.70,56.82,
COSTA DEL SOL,16,31.06,33.07,36.06,
COSTA RHU,15,28.63,32.02,34.82,
COTE D'AZUR,15,33.17,34.41,36.91,
CRADELS,12,40.74,43.90,46.34,
CUBE 8,11,36.05,42.31,46.15,
CUSCADEN RESIDENCES,10,37.31,42.16,47.33,
CYAN,10,42.27,44.16,45.61,
D'LEEDON,10,40.00,43.22,48.31,
D'NEST,18,27.97,30.00,37.78,
DAHLIA PARK CONDO,17,20.51,20.73,21.37,
DAKOTA RESIDENCES,14,37.80,38.89,40.19,
DE ROYALE,12,30.00,32.08,33.02,
DOMAIN 21,3,42.09,43.77,46.07,
DOUBLE BAY RESIDENCES,18,27.59,29.89,31.36,
DOVER PARKVIEW,5,31.03,32.22,33.33,
DUCHESS CREST,10,32.18,34.08,38.06,
DUCHESS RESIDENCES,10,31.33,35.56,37.40,
DUO RESIDENCES,7,55.56,59.18,64.00,
EAST MEADOWS,16,25.69,26.47,29.46,
EASTERN LAGOON,15,26.60,28.59,31.25,
EASTPOINT GREEN,18,24.55,25.47,26.67,
ECHELON,3,42.40,44.12,53.76,
ECO,16,31.73,33.90,36.04,
ECO SANCTUARY,23,29.10,31.20,33.09,
EDELWEISS PARK CONDO,17,21.37,23.08,24.73,
EIGHT COURTYARDS,27,25.45,28.18,33.52,
EIGHT RIVERSUITES,12,36.26,41.92,51.22,
ELIAS GREEN,18,16.67,16.78,17.36,
EMERALD GARDEN,1,35.96,38.96,40.87,
EMERALD PARK,3,33.21,34.56,35.92,
EON SHENTON,2,48.57,52.90,60.00,
ESPADA,9,54.69,66.19,72.73,
ESTELLA GARDENS,17,18.80,23.56,26.23,
EUHABITAT,14,34.31,37.25,38.78,
EURO-ASIA COURT,9,26.57,29.46,30.60,
EURO-ASIA PARK,13,22.22,24.71,30.14,
FERNWOOD TOWERS,15,19.06,20.26,23.42,
FERRARIA PARK CONDO,17,21.62,23.21,24.71,
FLAMINGO VALLEY,15,30.75,33.51,36.28,
FLO RESIDENCE,19,25.53,26.74,28.07,
FLORIDIAN,21,37.08,38.96,40.00,
FORESQUE RESIDENCES,23,26.18,31.39,33.82,
FORTE SUITES,8,43.86,45.34,50.61,
FOUR SEASONS PARK,10,38.10,40.48,42.86,
FULCRUM,15,41.10,44.68,47.27,
GARDENVISTA,21,33.65,35.64,36.63,
GILSTEAD TWO,11,44.05,44.44,45.24,
GLENDALE PARK,23,23.07,23.95,25.00,
GLENTREES,10,36.08,36.52,39.18,
GOLDENHILL PARK CONDO,20,30.97,33.34,36.25,
GOODLUCK GARDEN,21,15.85,18.51,23.67,
GRANDEUR 8,20,27.78,28.70,29.79,
GUILIN VIEW,23,21.85,23.30,27.50,
GUILLEMARD EDGE,14,35.91,43.83,45.12,
GUILLEMARD SUITES,14,46.51,47.89,50.00,
H2O RESIDENCES,28,25.24,26.19,28.26,
HAIG COURT,15,28.12,29.26,30.31,
HARBOUR VIEW TOWERS,4,28.45,30.72,35.42,
HARBOURLIGHTS,4,31.38,34.04,37.83,
HAWAII TOWER,15,22.92,23.81,25.00,
HAZEL PARK CONDO,23,20.00,21.01,22.22,
HEDGES PARK CONDO,6,24.70,26.48,28.98,
HELIOS RESIDENCES,9,44.94,48.74,53.43,
HERITAGE VIEW,5,36.07,37.84,42.86,
HIGHLINE RESIDENCES,3,53.08,59.57,65.96,
HILLBROOKS,23,22.00,22.47,23.53,
HILLCREST ARCADIA,11,24.38,28.91,34.99,
HILLINGTON GREEN,23,23.86,25.21,27.50,
HILLION RESIDENCES,23,36.00,41.86,44.19,
HILLSTA,23,27.99,31.86,34.80,
HILLVIEW GREEN,21,19.96,22.00,23.03,
HILLVIEW HEIGHTS,23,22.47,24.46,25.27,
HILLVIEW REGENCY,23,25.62,27.11,28.20,
HORIZON TOWERS,9,26.10,28.71,30.09,
HUME PARK I,21,18.64,19.05,21.19,
HUNDRED TREES,5,31.76,33.33,37.65,
ICON,2,55.17,60.00,64.15,
INTERNATIONAL PLAZA,2,31.20,33.79,36.86,
J GATEWAY,22,44.44,49.21,53.57,
JEWEL @ BUANGKOK,19,29.89,32.35,36.96,
KALLANG RIVERSIDE,12,46.35,49.43,53.23,
KAP RESIDENCES,21,37.27,41.27,41.67,
KATONG REGENCY,15,39.08,47.17,50.00,
KENSINGTON SQUARE,19,28.57,36.40,42.50,
KERRISDALE,8,33.18,34.90,38.08,
KIM SIA COURT,9,28.25,29.86,32.43,
KINGSFORD . HILLVIEW PEAK,23,35.42,36.73,40.82,
KOVAN MELODY,19,30.48,32.26,33.93,
KOVAN REGENCY,19,30.61,32.75,37.50,
KOVAN RESIDENCES,19,29.91,32.09,34.09,
KUM HING COURT,10,23.11,23.46,24.51,
L'VIV,11,50.00,52.95,57.84,
LA FIESTA,19,29.49,32.14,34.29,
LAKEHOLMZ,22,25.93,26.43,27.47,
LAKEVILLE,22,33.05,34.73,38.14,
LANDMARK TOWER,3,26.85,29.25,34.48,
LEEDON RESIDENCE,10,44.95,47.79,52.58,
LEONIE CONDOTEL,9,33.84,34.10,34.58,
LEONIE GARDENS,9,27.66,31.49,35.30,
LINCOLN SUITES,11,45.00,48.00,58.14,
LIVIA,18,23.27,24.16,26.47,
LOFT @ NATHAN,10,47.26,50.00,52.34,
LOYANG VALLEY,17,18.20,20.19,23.75,
LUMIERE,2,42.45,48.02,51.72,
MANDARIN GARDENS,15,25.85,28.64,34.78,
MAPLE WOODS,21,26.99,30.16,31.95,
MARINA BAY RESIDENCES,1,54.95,60.61,62.83,
MARINA BAY SUITES,1,43.71,45.21,46.36,
MARINA ONE RESIDENCES,1,48.08,50.81,53.77,
MARTIN PLACE RESIDENCES,9,46.88,50.91,53.37,
MAYSPRINGS,23,22.95,25.30,27.40,
MEADOWS @ PEIRCE,26,18.18,23.53,26.55,
MELROSE PARK,10,36.71,37.43,38.19,
MELVILLE PARK,18,22.47,24.72,25.29,
MERAPRIME,3,45.28,49.33,53.33,
MI CASA,23,21.57,23.08,25.21,
MIDTOWN RESIDENCES,19,34.71,38.73,42.86,
MILL POINT,10,43.16,50.00,53.19,
MIRAGE TOWER,9,32.52,41.36,45.28,
MY MANHATTAN,18,33.71,36.13,40.87,
NATURA@HILLVIEW,23,36.00,37.29,40.48,
NEPTUNE COURT,15,19.73,21.42,22.35,
NEWEST,5,27.03,37.94,44.19,
NEWTON EDGE,9,40.77,47.65,53.49,
NEWTON GEMS,11,36.56,36.84,37.88,
NEWTON SUITES,11,54.19,56.78,61.35,
NINE RESIDENCES,27,30.03,31.79,32.95,
NINETEEN SHELFORD ROAD,11,33.53,34.94,36.51,
NORTHVALE,23,20.99,23.18,26.87,
NOTTINGHILL SUITES,21,36.05,42.90,45.31,
NV RESIDENCES,18,23.81,27.03,29.58,
OASIS @ ELIAS,18,21.90,23.15,23.89,
OKIO,12,40.16,46.39,50.00,
OLEANDER TOWERS,12,29.09,31.31,31.78,
ONE AMBER,15,33.06,34.88,43.40,
ONE DEVONSHIRE,9,52.78,58.76,61.06,
ONE DUSUN RESIDENCES,12,40.82,41.11,44.44,
ONE JERVOIS,10,38.85,42.19,42.86,
ONE SHENTON,1,43.01,47.36,59.26,
ONE-NORTH RESIDENCES,5,41.15,46.75,53.33,
OPTIMA @ TANAH MERAH,16,31.58,35.29,41.54,
ORCHARD SCOTTS,9,41.54,44.81,53.94,
ORCHID PARK CONDO,27,20.20,21.52,22.89,
OUE TWIN PEAKS,9,57.69,62.50,66.00,
PACIFIC MANSION,9,20.94,22.95,26.48,
PALM GARDENS,23,20.00,21.24,22.32,
PALM ISLES,17,25.68,27.70,33.69,
PALM SPRING,10,30.23,31.11,31.82,
PANDAN VALLEY,21,19.79,21.39,23.85,
PARBURY HILL CONDO,16,23.04,24.55,24.89,
PARC CENTROS,19,26.09,30.99,38.64,
PARC ELEGANCE,15,39.02,43.24,43.59,
PARC EMILY,9,43.01,44.91,51.92,
PARC IMPERIAL,5,50.00,52.63,54.05,
PARC OASIS,22,22.86,23.68,25.00,
PARC OLYMPIA,17,24.45,26.71,30.00,
PARC PALAIS,21,21.43,21.77,23.89,
PARC ROSEWOOD,25,28.57,35.00,38.75,
PARC SOPHIA,9,39.46,43.33,47.73,
PARC VERA,19,23.91,26.03,27.40,
PARC VISTA,22,22.65,23.93,24.49,
PARK EAST,15,22.34,23.29,24.69,
PARK INFINIA AT WEE NAM,11,46.32,48.78,51.92,
PARK WEST,5,19.35,23.04,26.35,
PARKSHORE,15,24.39,25.16,25.99,
PARKVIEW APARTMENTS,23,22.26,23.08,24.23,
PARVIS,10,45.45,51.35,54.35,
PATERSON RESIDENCE,9,42.45,43.01,46.22,
PATERSON SUITES,9,40.71,42.42,43.59,
PAVILION 11,11,32.61,35.39,38.20,
PEBBLE BAY,15,31.25,32.97,34.46,
PEOPLE'S PARK COMPLEX,1,39.67,45.33,53.33,
PINEWOOD GARDENS,10,25.96,28.40,30.93,
PRESTIGE HEIGHTS,12,43.02,51.61,54.84,
Q BAY RESIDENCES,18,25.96,28.00,31.17,
QUEENS,3,33.02,35.51,37.74,
QUESTA @ DUNMAN,15,35.32,36.82,39.15,
RAFFLESIA CONDO,20,28.70,29.72,32.10,
REFLECTIONS AT KEPPEL BAY,4,41.67,44.48,48.54,
REGENCY PARK,10,32.68,34.60,38.58,
REGENT GROVE,23,20.95,21.90,23.81,
REGENT HEIGHTS,23,21.58,23.15,23.16,
REGENT PARK,5,27.52,28.24,30.67,
REGENT RESIDENCES,12,31.88,34.21,48.68,
REGENTVILLE,19,22.78,24.17,25.23,
RESIDENCES @ EVELYN,11,42.70,44.94,49.44,
REZI 26,14,35.14,41.46,44.05,
RICHMOND PARK,9,36.13,42.95,45.45,
RIDGEWOOD,10,24.73,26.53,28.79,
RIO VISTA,19,22.00,23.08,24.27,
RIPPLE BAY,18,27.78,30.77,35.21,
RIS GRANDEUR,18,23.85,24.59,26.23,
RIVER ISLES,19,22.02,25.00,28.31,
RIVER PLACE,3,37.97,41.79,45.95,
RIVERBANK @ FERNVALE,28,30.30,31.82,36.96,
RIVEREDGE,15,34.68,37.16,38.38,
RIVERGATE,9,43.39,47.42,55.26,
RIVERSAILS,19,25.00,26.22,28.28,
RIVERSOUND RESIDENCE,19,26.28,28.57,33.93,
RIVERTREES RESIDENCES,28,29.41,30.77,34.26,
RIVERVALE CREST,19,21.36,22.70,23.79,
ROBERTSON 100,9,44.44,47.24,51.11,
ROBIN RESIDENCES,10,47.42,50.96,56.68,
ROBINSON SUITES,1,60.64,62.63,65.22,
ROSEWOOD,25,23.33,24.02,25.48,
RV EDGE,10,48.72,56.41,58.97,
RV RESIDENCES,10,51.56,56.25,61.90,
SANCTUARY GREEN,15,29.92,34.18,38.24,
SANT RITZ,13,40.83,42.74,44.58,
SAVANNAH CONDOPARK,18,24.77,25.54,26.17,
SCOTTS 28,9,36.36,36.86,39.47,
SCOTTS SQUARE,9,65.52,72.46,77.27,
SEA ESTA,18,25.27,27.02,28.85,
SEAHILL,5,36.67,40.79,45.65,
SEASONS PARK,26,21.55,22.08,24.21,
SEASONS VIEW,20,25.82,26.74,27.36,
SEASTRAND,18,25.61,29.64,31.48,
SELETAR PARK RESIDENCE,28,22.74,27.04,31.65,
SELETARIS,27,18.18,19.27,20.20,
SENNETT RESIDENCE,13,34.23,38.28,40.82,
SERENITY PARK,28,19.51,20.11,20.49,
SHERWOOD TOWER,21,24.83,27.30,29.91,
SIGLAP V,15,32.69,35.71,38.54,
SIGNATURE PARK,21,21.33,22.45,23.83,
SILVERSEA,15,39.70,42.42,44.51,
SIMS URBAN OASIS,14,42.22,46.51,50.73,
SIMSVILLE,14,27.59,28.70,29.67,
SKIES MILTONIA,27,25.00,27.54,30.43,
SKY GREEN,13,33.33,41.86,45.45,
SKY HABITAT,20,35.40,37.17,40.82,
SKY VUE,20,40.51,45.68,51.11,
SKY@ELEVEN,11,34.60,36.32,37.21,
SKYLINE RESIDENCES,4,40.00,44.16,48.05,
SKYSUITES17,12,38.10,45.11,54.55,
SKYSUITES@ANSON,2,62.99,72.97,77.21,
SOLEIL @ SINARAN,11,50.56,53.70,58.70,
SOMMERVILLE PARK,10,31.41,33.07,37.63,
SOPHIA HILLS,9,45.74,49.14,52.83,
SOPHIA RESIDENCE,9,37.16,40.49,45.88,
SOUTHBANK,7,44.94,46.07,51.64,
SPACE @ KOVAN,19,35.00,38.03,40.68,
SPANISH VILLAGE,10,25.56,27.40,30.47,
SPOTTISWOODE 18,2,59.03,61.11,63.89,
SPOTTISWOODE PARK,2,24.36,30.06,31.33,
SPOTTISWOODE RESIDENCES,2,46.25,47.65,50.75,
SPOTTISWOODE SUITES,2,51.85,58.54,60.98,
SPRING GROVE,10,31.91,33.33,34.88,
SPRINGDALE CONDO,21,23.81,24.64,25.96,
ST REGIS RESIDENCES SINGAPORE,10,39.70,42.86,45.33,
STELLAR RV,10,44.00,47.00,50.00,
STRATA,11,41.41,44.49,50.00,
STRATUM,18,28.95,30.12,37.50,
SUITES @ EASTCOAST,15,38.67,44.12,45.59,
SUITES AT ORCHARD,9,54.33,58.67,69.37,
SUNGLADE,19,32.32,33.79,36.54,
SUNHAVEN,16,23.21,24.42,26.13,
SUNSHINE PLAZA,7,40.91,46.97,50.00,
SYMPHONY HEIGHTS,21,21.85,23.26,25.00,
TANAMERA CREST,16,23.79,25.25,26.26,
TANGLIN PARK,10,34.84,37.12,38.69,
TANGLIN REGENCY,10,33.54,36.89,42.42,
TANGLIN VIEW,3,33.01,35.29,37.25,
TERESA VILLE,4,20.67,23.98,24.38,
TERRASSE,19,27.14,30.84,36.00,
TERRENE AT BUKIT TIMAH,21,28.95,29.64,30.98,
TEXTILE CENTRE,7,36.94,39.58,41.38,
THE ANCHORAGE,3,26.17,27.80,30.59,
THE ARTE,12,27.81,30.34,30.77,
THE BAYSHORE,16,24.14,26.11,27.27,
THE BEACON,2,35.19,36.96,39.81,
THE BELVEDERE,15,33.62,35.74,39.18,
THE BENCOOLEN,7,40.37,42.56,44.30,
THE BERTH BY THE COVE,4,38.46,41.67,45.65,
THE BLOSSOMVALE,21,26.32,27.93,29.41,
THE BOUTIQ,9,48.11,50.63,53.45,
