Name,Postal District,"25th percentile
Percentile",Median,"75th percentile
Percentile",Number
18 WOODSVILLE,13,38.24,41.18,45.65,11
26 NEWTON,11,45.83,55.56,57.69,17
368 THOMSON,11,33.06,37.04,39.51,11
38 I SUITES,15,37.5,41.32,42.86,14
6 DERBYSHIRE,11,44.16,48.02,51.25,20
76 SHENTON,2,54.49,58.16,60.34,36
8 @ MOUNT SOPHIA,9,47.76,50.91,56.06,35
8@WOODLEIGH,13,34.31,35,36.54,29
A TREASURE TROVE,19,25.62,28.87,29.86,40
AALTO,15,32.97,36.11,38.73,11
ADAM PARK CONDO,11,31.54,34.32,38.27,12
ADRIA,11,43.75,46.15,49.18,13
ALESSANDREA,3,32.29,35.16,37.36,11
ALEX RESIDENCES,3,51.77,55.39,58.91,20
ALEXIS,3,36.99,49.6,57.5,30
ALLSWORTH PARK,10,26.96,29.35,32.07,11
ALTEZ,2,63.83,71.23,77.53,51
AMARANDA GARDENS,19,30.91,31.44,32.04,10
AMARYLLIS VILLE,11,43.36,46.85,48.24,21
AQUARIUS BY THE PARK,16,26.19,28.04,29.87,29
ARCHIPELAGO,16,29.87,32.05,36.73,41
ARDMORE PARK,10,48.25,51.56,55.45,16
ASCENTIA SKY,3,37.21,40.45,44.68,25
ASPEN HEIGHTS,9,34.45,36.44,38.34,64
ASTORIA PARK,14,28.83,31.53,33.94,25
ATRIUM RESIDENCES,14,28.95,29.9,32,11
AVA TOWERS,12,23.26,25.04,26.83,11
AVILA GARDENS,17,18.07,20.66,26.51,15
AVON PARK,13,24.61,26,27.4,14
AZALEA PARK CONDO,17,18.55,19.67,21.31,15
BALLOTA PARK CONDO,17,17.39,18.69,20.11,17
BARTLEY RESIDENCES,19,31.02,33.33,44.19,55
BARTLEY RIDGE,13,31.67,35.42,43.48,83
BAYSHORE PARK,16,28,29.7,31.13,96
BAYWATER,16,26.87,28.22,29.07,10
BEACON HEIGHTS,12,26.74,28.31,30.65,15
BEDOK RESIDENCES,16,38.24,41.77,46.3,71
BELLE VUE RESIDENCES,9,30.49,43.68,47.31,15
BELMOND GREEN,10,35.4,36.61,38.37,11
BIJOU,5,50,51.82,54.55,17
BISHAN 8,20,28.94,31.25,31.65,12
BLISS@KOVAN,19,29.41,30.56,33.33,13
BLOSSOMS @ WOODLEIGH,13,30.89,32.69,33.72,17
BLUE HORIZON,5,30.99,32.12,34.12,44
BOATHOUSE RESIDENCES,19,27.21,28.24,29.31,17
BOTANIQUE AT BARTLEY,19,39.13,40.98,42.65,13
BOTANNIA,5,26.67,27.59,29.09,33
BULLION PARK,26,22.87,26.35,27.2,19
BURLINGTON SQUARE,7,37.8,39.51,42.31,21
CAIRNHILL CREST,9,41.72,44.76,47.62,27
CAIRNHILL NINE,9,65.66,70.77,76.36,59
CAIRNHILL PLAZA,9,26.14,28.03,31.05,12
CAPE ROYALE,4,40.96,42.72,47.44,38
CARABELLE,5,28.41,30.68,36.36,15
CARDIFF RESIDENCE,19,42.5,43.9,46.15,13
CARIBBEAN AT KEPPEL BAY,4,47.96,50.68,52.5,89
CARISSA PARK CONDO,17,20.34,21.67,23.42,39
CASA CAMBIO,19,36.11,42.39,45,25
CASA FORTUNA,12,30.85,34.09,42.55,16
CASA MERAH,16,28.07,29.08,31.82,38
CASA SARINA,14,23.73,24.76,25.47,11
CASABLANCA,25,23.53,24.69,26.73,21
CASHEW HEIGHTS CONDO,23,18.49,19.28,19.96,20
CASPIAN,22,28.78,30,33.89,28
CASTLE GREEN,26,23.89,25.5,26.22,30
CAVENAGH GARDENS,9,24.92,26.32,27.94,17
CAVENDISH PARK,21,25.01,28.08,30.23,12
CENTRAL GREEN CONDO,3,32.5,34.88,39.44,39
CENTRAL GROVE,14,28.04,29.46,31.18,11
CENTRO RESIDENCES,20,37.04,39.71,41.94,23
CHANGI COURT,16,22.22,24.03,25.93,37
CHANGI GREEN,16,21.51,22.12,25.31,30
CHANGI RISE CONDO,18,23.68,24.54,25.93,22
CHERRYHILL,19,22.02,24.62,26,10
CHILTERN PARK,19,26.45,29.31,31.03,19
CHUAN PARK,19,20.35,21.85,24.24,28
CITY GATE,7,35.33,52.26,62.26,86
CITY SQUARE RESIDENCES,8,35.71,38.82,42.86,110
CITYLIGHTS,8,42.17,47.62,52.38,63
CITYSCAPE @FARRER PARK,8,29.44,31,33.33,33
CLEMENTI PARK,21,22.11,23.85,25.57,22
CLIVEDEN AT GRANGE,10,42.5,45.61,48.48,14
CLOVER BY THE PARK,20,28.32,29.2,30.58,16
COCO PALMS,18,31.43,34.29,41.86,47
COMMONWEALTH TOWERS,3,50,55.81,58.54,83
COMPASS HEIGHTS,19,24.47,25.93,27.52,30
CONCOURSE SKYLINE,7,45.8,49.04,52.48,46
CORALIS,15,35.9,42.67,45.65,19
CORALS AT KEPPEL BAY,4,49.35,51.82,59.46,27
COSTA DEL SOL,16,32.2,33.86,36.06,52
COSTA RHU,15,30.25,31.91,34.31,51
COTE D'AZUR,15,32.69,34.69,37.16,42
CRADELS,12,38.89,46.34,46.34,21
CUBE 8,11,35.4,43.32,48.08,14
CUSCADEN RESIDENCES,10,38.81,41.98,44.78,15
CYAN,10,41.67,43.52,45.21,22
D'LEEDON,10,37.8,40.15,45.95,189
D'NEST,18,28.57,30.51,37.78,39
DAHLIA PARK CONDO,17,20.83,21.37,23.08,17
DAKOTA RESIDENCES,14,36.89,37.5,39.26,17
DE ROYALE,12,30.77,31.11,32.22,14
DOMAIN 21,3,44.05,45.86,47.95,10
DOMUS,12,33.33,36.9,45.45,13
