Postal.District,Quarter,Median
1,Q4.2018,52.449
2,Q4.2018,52.11666667
3,Q4.2018,42.041
4,Q4.2018,41.72142857
5,Q4.2018,35.34636364
6,Q4.2018,26.48
7,Q4.2018,45.205
8,Q4.2018,39.226
9,Q4.2018,46.50654545
10,Q4.2018,39.49684211
11,Q4.2018,43.1432
12,Q4.2018,39.31157895
13,Q4.2018,36.98142857
14,Q4.2018,36.085625
15,Q4.2018,34.67297297
16,Q4.2018,30.08772727
17,Q4.2018,22.88846154
18,Q4.2018,27.70304348
19,Q4.2018,31.095
20,Q4.2018,33.03866667
21,Q4.2018,29.7804
22,Q4.2018,31.378
23,Q4.2018,27.28387097
25,Q4.2018,28.6125
26,Q4.2018,23.744
27,Q4.2018,26.51
28,Q4.2018,27.565
1,Q1.2019,51.19636364
2,Q1.2019,53.55583333
3,Q1.2019,43.49954545
4,Q1.2019,41.8725
5,Q1.2019,35.46923077
6,Q1.2019,27.46
7,Q1.2019,45.65571429
8,Q1.2019,38.11166667
9,Q1.2019,46.91071429
10,Q1.2019,40.7047619
11,Q1.2019,42.96416667
12,Q1.2019,38.95857143
13,Q1.2019,36.29909091
14,Q1.2019,35.63
15,Q1.2019,34.68166667
16,Q1.2019,29.97136364
17,Q1.2019,22.81769231
18,Q1.2019,27.7625
19,Q1.2019,31.30615385
20,Q1.2019,32.05375
21,Q1.2019,28.76555556
22,Q1.2019,31.03909091
23,Q1.2019,26.95935484
25,Q1.2019,28.555
26,Q1.2019,23.49
27,Q1.2019,27.84692308
28,Q1.2019,28.63
1,Q2.2019,52.57636364
2,Q2.2019,54.3925
3,Q2.2019,43.70909091
4,Q2.2019,41.17733333
5,Q2.2019,36.57925926
6,Q2.2019,28.38
7,Q2.2019,45.26555556
8,Q2.2019,39.72
9,Q2.2019,47.6095
10,Q2.2019,40.15837209
11,Q2.2019,42.55928571
12,Q2.2019,38.14166667
13,Q2.2019,36.34909091
14,Q2.2019,34.715
15,Q2.2019,34.29404762
16,Q2.2019,30.0873913
17,Q2.2019,23.28461538
18,Q2.2019,28.20869565
19,Q2.2019,31.57785714
20,Q2.2019,31.97866667
21,Q2.2019,29.34384615
22,Q2.2019,31.04538462
23,Q2.2019,27.04787879
25,Q2.2019,27.992
26,Q2.2019,24.522
27,Q2.2019,27.53769231
28,Q2.2019,29.12
1,Q3.2019,52.83454545
2,Q3.2019,54.78
3,Q3.2019,44.74631579
4,Q3.2019,40.037
5,Q3.2019,35.78193548
6,Q3.2019,54.44
7,Q3.2019,46.50125
8,Q3.2019,41.97
9,Q3.2019,46.06811111
10,Q3.2019,41.79319444
11,Q3.2019,41.60794872
12,Q3.2019,40.2304
13,Q3.2019,36.802
14,Q3.2019,37.59
15,Q3.2019,34.96071429
16,Q3.2019,30.33111111
17,Q3.2019,23.39846154
18,Q3.2019,28.68772727
19,Q3.2019,31.90897959
20,Q3.2019,31.78764706
21,Q3.2019,29.83735294
22,Q3.2019,31.67833333
23,Q3.2019,27.0925
25,Q3.2019,27.356
26,Q3.2019,23.74
27,Q3.2019,26.65333333
28,Q3.2019,28.13714286
