S.N,Building.Project.Name,StreetName,Postal.District,Type,No..of.Bedroom,Monthly.Gross.Rent...,Floor.Area..sq.ft.,Mean.Floor.Area..sq.ft.,Category,Date,lon,lat,address
1,THE EDEN AT TAMPINES,TAMPINES STREET 34,18,Executive Condominium,3,3000,1400 to 1500,1450,NA,19-Aug,103.960135,1.3559002,"tampines street 34, singapore"
2,WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,2400,1100 to 1200,1150,NA,19-Aug,103.9364814,1.3803551,"pasir ris street 72, singapore"
3,SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,2500,900 to 1000,950,NA,19-Aug,103.9559533,1.3420111,"simei street 4, singapore"
4,ARC AT TAMPINES,TAMPINES AVENUE 8,18,Executive Condominium,3,2500,900 to 1000,950,NA,19-Aug,103.9304399,1.352507,"tampines ave 8, singapore"
5,WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,2400,1100 to 1200,1150,NA,19-Aug,103.9364814,1.3803551,"pasir ris street 72, singapore"
6,EASTVALE,PASIR RIS DRIVE 3,18,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.9516458,1.37497,"pasir ris drive 3, singapore"
7,ARC AT TAMPINES,TAMPINES AVENUE 8,18,Executive Condominium,3,2750,1100 to 1200,1150,NA,19-Aug,103.9304399,1.352507,"tampines ave 8, singapore"
8,WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.9364814,1.3803551,"pasir ris street 72, singapore"
9,PINEVALE,TAMPINES STREET 73,18,Executive Condominium,3,2100,1200 to 1300,1250,NA,19-Aug,103.9323512,1.358946,"tampines street 73, singapore"
10,SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,3000,1100 to 1200,1150,NA,19-Aug,103.9559533,1.3420111,"simei street 4, singapore"
11,SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,4,2750,1700 to 1800,1750,NA,19-Aug,103.9559533,1.3420111,"simei street 4, singapore"
12,ARC AT TAMPINES,TAMPINES AVENUE 8,18,Executive Condominium,3,2400,900 to 1000,950,NA,19-Aug,103.9304399,1.352507,"tampines ave 8, singapore"
