"V1","V2","V3","V4","V5","V6","V7","V8","V9","lon","lat","address"
1,"COMMONWEALTH TOWERS","COMMONWEALTH TOWERS COMMONWEALTH AVENUE Singapore",3,"Non-landed Properties","2",3200,"600 to 700","19-Aug","103.8059102","1.295722","230 commonwealth ave, singapore 149739"
2,"THE PEARL @ MOUNT FABER","THE PEARL @ MOUNT FABER MOUNT FABER ROAD Singapore",4,"Non-landed Properties","3",3800,"1300 to 1400","19-Aug","103.8242773","1.2710653","11 mount faber rd, singapore 099209"
3,"DOVER PARKVIEW","DOVER PARKVIEW DOVER RISE Singapore",5,"Non-landed Properties","2",2600,"900 to 1000","19-Aug","103.7847371","1.3057405","38 dover rise, singapore 138684"
4,"QUEENS","QUEENS STIRLING ROAD Singapore",3,"Non-landed Properties","2",3100,"900 to 1000","19-Aug","103.80624","1.293043","12 stirling rd, singapore 148955"
5,"THE PEAK@BALMEG","THE PEAK@BALMEG BALMEG HILL Singapore",5,"Non-landed Properties","3",4500,"1500 to 1600","19-Aug","103.7833739","1.283174","6 balmeg hill, the peak@balmeg, singapore 119910"
6,"RIVER PLACE","RIVER PLACE HAVELOCK ROAD Singapore",3,"Non-landed Properties","1",3300,"800 to 900","19-Aug","103.8405991","1.2893974","60 havelock rd, singapore 169658"
7,"THE METROPOLITAN CONDOMINIUM","THE METROPOLITAN CONDOMINIUM ALEXANDRA VIEW Singapore",3,"Non-landed Properties","4",5700,"1700 to 1800","19-Aug","103.816244","1.2906664","8 alexandra view, singapore 158747"
8,"DOVER PARKVIEW","DOVER PARKVIEW DOVER RISE Singapore",5,"Non-landed Properties","2",2850,"900 to 1000","19-Aug","103.7847371","1.3057405","38 dover rise, singapore 138684"
9,"THE CLEMENT CANOPY","THE CLEMENT CANOPY CLEMENTI AVENUE 1 Singapore",5,"Non-landed Properties","3",3400,"900 to 1000","19-Aug","103.7684933","1.3073069","16 clementi ave 1, singapore 129960"
10,"SPOTTISWOODE 18","SPOTTISWOODE 18 SPOTTISWOODE PARK ROAD Singapore",2,"Non-landed Properties","1",2200,"300 to 400","19-Aug","103.8375907","1.2754518","18 spottiswoode park rd, singapore 088642"
