S/N,Building/Project Name,StreetName,Postal District,Type,No. of Bedroom,Monthly Gross Rent($),Floor Area (sq ft),Mean Floor Area (sq ft),Category,Date
1,THE EDEN AT TAMPINES,TAMPINES STREET 34,18,Executive Condominium,3,3000,1400 to 1500,1450,,19-Aug
2,WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,2400,1100 to 1200,1150,,19-Aug
3,SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,2500,900 to 1000,950,,19-Aug
4,ARC AT TAMPINES,TAMPINES AVENUE 8,18,Executive Condominium,3,2500,900 to 1000,950,,19-Aug
5,WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,2400,1100 to 1200,1150,,19-Aug
6,EASTVALE,PASIR RIS DRIVE 3,18,Executive Condominium,3,2400,1200 to 1300,1250,,19-Aug
7,ARC AT TAMPINES,TAMPINES AVENUE 8,18,Executive Condominium,3,2750,1100 to 1200,1150,,19-Aug
8,WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
9,PINEVALE,TAMPINES STREET 73,18,Executive Condominium,3,2100,1200 to 1300,1250,,19-Aug
10,SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,3000,1100 to 1200,1150,,19-Aug
11,SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,4,2750,1700 to 1800,1750,,19-Aug
12,ARC AT TAMPINES,TAMPINES AVENUE 8,18,Executive Condominium,3,2400,900 to 1000,950,,19-Aug
13,PINEVALE,TAMPINES STREET 73,18,Executive Condominium,3,2300,1200 to 1300,1250,,19-Aug
14,WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
15,WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,2600,1100 to 1200,1150,,19-Aug
16,SEA HORIZON,PASIR RIS RISE,18,Executive Condominium,5,4200,1600 to 1700,1650,,19-Aug
17,THE EDEN AT TAMPINES,TAMPINES STREET 34,18,Executive Condominium,3,2600,1200 to 1300,1250,,19-Aug
18,WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,2300,1100 to 1200,1150,,19-Aug
19,WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
20,SIMEI GREEN CONDOMINIUM,SIMEI STREET 4,18,Executive Condominium,3,2550,1200 to 1300,1250,,19-Aug
21,BELYSA,PASIR RIS DRIVE 1,18,Executive Condominium,3,2800,1000 to 1100,1050,,19-Aug
22,THE ESPARIS,PASIR RIS DRIVE 4,18,Executive Condominium,3,2800,1100 to 1200,1150,,19-Aug
